PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
SO810452	"HALL, THOMAS S."	7/12/1984	150	Plastic	2	130	10	10	12	20
SO810453	"HALL, THOMAS S."	7/11/1984	150	Plastic	2	130	10	10	15	Not Available
SO810454	"SHANNAHAN, N. M.,III"	7/5/1984	222	Plastic	2	207	20	25	50	Not Available
SO810455	"SHANNAHAN, N. M.,III"	8/20/1984	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
SO810456	"GRIFFIN, JOHN E."	7/24/1984	101	Plastic	2	91	40	5	8	Not Available
SO810457	"HALL, THOMAS S."	7/10/1984	140	Plastic	2	120	9	9	14	60
SO810458	"HALL, THOMAS S."	7/13/1984	200	Plastic	2	180	12	12	16	Not Available
SO810459	"HALL, THOMAS S."	7/20/1984	98	Plastic	2	83	30	7	10	Not Available
SO810460	"HALL, THOMAS S."	7/19/1984	95	Plastic	2	70	10	10	12	Not Available
SO810461	"HALL, THOMAS S."	7/17/1984	235	Plastic	2	210	13	13	16	Not Available
SO810462	"HALL, THOMAS S."	7/25/1984	160	Plastic	2	140	20	11	22	15
SO810463	"HALL, THOMAS S."	7/20/1984	180	Plastic	2	160	10	10	13	Not Available
SO810464	"HALL, THOMAS S."	8/23/1984	88	Plastic	2	68	8	12	14	Not Available
SO810465	"HALL, THOMAS S."	8/22/1984	85	Plastic	2	70	9	10	13	Not Available
SO810466	"CAREY, FREDERICK W."	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
SO810467	"HALL, THOMAS S."	7/30/1984	150	Plastic	2	130	17	11	18	Not Available
SO810468	"HALL, THOMAS S."	8/8/1984	210	Plastic	2	190	11	11	15	Not Available
SO810469	"HALL, THOMAS S."	8/1/1984	118	Plastic	2	98	19	11	22	25
SO810470	"MCCREARY, PAUL S."	9/19/1984	230	Plastic	4	180	60	28	35	Not Available
SO810471	"MCCREARY, PAUL S."	5/14/1985	255	Plastic	12	190	500	28	145	130
SO810472	"HALL, THOMAS S."	7/27/1984	150	Plastic	2	130	9	10	14	Not Available
SO810473	"HALL, THOMAS S."	8/1/1984	155	Plastic	2	130	10	11	13	Not Available
SO810474	"HALL, THOMAS S."	8/3/1984	140	Plastic	2	120	11	12	14	25
SO810475	"HALL, THOMAS S."	8/1/1984	165	Plastic	2	140	15	10	16	Not Available
SO810476	"GRIFFIN, JOHN E."	9/26/1984	215	Plastic	2	205	40	10	13	Not Available
SO810477	"HALL, THOMAS S."	8/6/1984	230	Plastic	2	200	12	12	16	70
SO810478	"HALL, THOMAS S."	8/9/1984	205	Plastic	2	185	11	13	17	15
SO810479	"HALL, THOMAS S."	8/15/1984	150	Plastic	2	130	9	10	12	Not Available
