PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
WO731117	"FORD, MARION O"	10/7/1977	150	Plastic	2	135	10	15	21	Not Available
WO731118	"LEONARD, WILLIAM C."	7/14/1977	50	Steel	2	50	10	15	50	Not Available
WO731119	"LEONARD, WILLIAM C."	7/20/1977	55	Steel	2	55	8	12	55	Not Available
WO731120	"LEONARD, WILLIAM C."	7/21/1977	20	Steel	2	20	7	12	20	Not Available
WO731121	"LEONARD, WILLIAM C."	7/1/1977	45	Steel	2	45	8	12	45	Not Available
WO731122	"PIGMAN, JOHN H."	8/24/1977	65	Steel	2	65	12	3	3	Not Available
WO731123	IDEAL WELL DRILLERS	7/19/1977	45	Plastic	2	40	90	6	15	Not Available
WO731124	IDEAL WELL DRILLERS	7/29/1977	102	Plastic	2	97	75	4	12	Not Available
WO731125	IDEAL WELL DRILLERS	8/10/1977	45	Plastic	2	40	65	19	23	Not Available
WO731126	IDEAL WELL DRILLERS	6/25/1977	40	Plastic	2	35	75	8	16	Not Available
WO731127	LIFETIME WELL DRLG	8/12/1977	100	Plastic	8	100	200	12	18	Not Available
WO731128	"LEONARD, WILLIAM C."	7/1/1977	70	Steel	2	5	10	18	70	Not Available
WO731129	IDEAL WELL DRILLERS	7/29/1977	102	Plastic	2	97	75	4	12	Not Available
WO731130	IDEAL WELL DRILLERS	9/8/1977	45	Plastic	2	40	65	12	15	Not Available
WO731131	IDEAL WELL DRILLERS	9/12/1977	75	Plastic	2	70	40	6	12	Not Available
WO731132	"FORD, MARION O"	9/16/1977	100	Plastic	2	85	10	16	23	40
WO731133	"FORD, MARION O"	9/16/1977	135	Plastic	2	120	10	12	15	40
WO731134	"LEONARD, WILLIAM C."	8/18/1977	20	Steel	2	20	8	9	9	Not Available
WO731135	BUNDICK WELL & PUMP	11/1/1977	260	Steel	2	240	25	17	60	Not Available
WO731136	"SMULLEN, CHARLES"	8/19/1977	55	Steel	1	50	17	18	19	Not Available
WO731137	"BROWN, HARVEY T. JR."	9/21/1977	55	Steel	2	55	6	16	55	Not Available
WO731138	"DASHIELL, ELMER"	8/10/1977	60	Plastic	2	50	15	12	17	Not Available
WO731139	IDEAL WELL DRILLERS	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731140	"SMULLEN, CHARLES"	8/19/1977	55	Steel	1	50	10	18	55	Not Available
WO731141	"LEONARD, WILLIAM C."	8/2/1977	35	Steel	5	35	8	12	12	Not Available
WO731142	IDEAL WELL DRILLERS	8/15/1977	51	Plastic	2	46	35	9	13	Not Available
WO731143	"PIGMAN, JOHN H."	7/20/1977	80	Steel	2	80	8	15	15	Not Available
WO731144	"LEONARD, WILLIAM C."	8/12/1977	45	Steel	2	45	8	12	12	Not Available
WO731145	"BROWN, HARVEY T. JR."	9/22/1977	18	Steel	2	14	5	4	18	Not Available
WO731146	IDEAL WELL DRILLERS	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731147	"LEONARD, WILLIAM C."	8/18/1977	17	Steel	2	17	7	7	7	Not Available
WO731148	"LEONARD, WILLIAM C."	8/22/1977	25	Steel	2	25	6	12	12	Not Available
WO731149	"DASHIELL, ELMER"	9/7/1977	60	Plastic	2	50	10	10	17	Not Available
WO731150	IDEAL WELL DRILLERS	8/8/1977	30	Plastic	2	25	60	7	12	Not Available
WO731151	IDEAL WELL DRILLERS	9/23/1977	190	Plastic	2	180	20	34	60	Not Available
WO731152	IDEAL WELL DRILLERS	10/14/1977	81	Plastic	2	76	75	8	15	Not Available
WO731153	"DASHIELL, ELMER"	9/2/1977	75	Plastic	2	65	15	8	15	Not Available
WO731154	"DASHIELL, ELMER"	8/19/1977	70	Plastic	2	60	20	16	22	Not Available
WO731155	"DASHIELL, ELMER"	7/19/1977	78	Plastic	2	68	15	21	29	Not Available
WO731156	"LEONARD, WILLIAM C."	8/22/1977	77	Steel	2	77	10	15	15	Not Available
WO731157	"DASHIELL, ELMER"	9/6/1977	260	Plastic	2	240	20	22	29	Not Available
WO731158	IDEAL WELL DRILLERS	10/14/1977	102	Plastic	2	97	75	3	10	Not Available
WO731159	IDEAL WELL DRILLERS	10/13/1977	101	Plastic	2	96	75	3	10	Not Available
WO731160	"DAISEY, CHARLES I"	10/21/1977	95	Steel	2	89	40	4	16	Not Available
WO731161	IDEAL WELL DRILLERS	10/7/1977	80	Plastic	2	75	70	4	12	Not Available
WO731162	IDEAL WELL DRILLERS	10/13/1977	98	Plastic	2	93	25	15	18	Not Available
WO731163	IDEAL WELL DRILLERS	10/4/1977	60	Plastic	2	55	70	5	12	Not Available
WO731164	"DASHIELL, ELMER"	9/28/1977	110	Plastic	2	104	20	16	23	Not Available
WO731165	"FORD, MARION O"	10/17/1977	300	Plastic	2	280	10	17	22	Not Available
WO731166	"BROWN, HARVEY T. JR."	9/30/1977	18	Steel	2	13	5	6	18	Not Available
WO731167	IDEAL WELL DRILLERS	10/13/1977	87	Plastic	2	82	65	10	12	Not Available
WO731168	"DAISEY, CHARLES I"	12/8/1977	95	Steel	2	89	40	10	20	Not Available
WO731169	"DASHIELL, ELMER"	3/23/1977	100	Plastic	2	80	20	4	11	Not Available
WO731170	IDEAL WELL DRILLERS	10/24/1977	30	Plastic	2	25	40	11	14	Not Available
WO731171	LIFETIME WELL DRLG	10/24/1977	96	Plastic	2	96	40	5	20	Not Available
WO731172	"DASHIELL, ELMER"	10/5/1977	270	Plastic	2	250	35	19	27	Not Available
WO731173	IDEAL WELL DRILLERS	8/19/1977	45	Plastic	2	40	25	6	12	Not Available
WO731174	"FORD, MARION O"	10/15/1977	102	Plastic	2	87	10	15	19	Not Available
WO731175	"DASHIELL, ELMER"	8/13/1985	60	Plastic	2	50	15	8	15	Not Available
WO731176	"DASHIELL, ELMER"	10/25/1977	85	Plastic	2	75	15	12	19	Not Available
WO731177	"HAMMOND, LEMUEL W."	8/13/1978	50	Steel	2	45	6	10	12	Not Available
WO731178	"LEONARD, WILLIAM C."	9/2/1977	20	Steel	2	5	8	10	10	Not Available
WO731179	"LEONARD, WILLIAM C."	9/2/1977	50	Steel	2	51	12	10	50	Not Available
WO731180	"FORD, MARION O"	12/2/1977	140	Plastic	2	120	10	16	22	40
WO731181	IDEAL WELL DRILLERS	12/19/1977	61	Plastic	2	56	70	9	13	Not Available
WO731182	IDEAL WELL DRILLERS	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731183	IDEAL WELL DRILLERS	12/19/1977	49	Plastic	2	44	70	9	13	Not Available
WO731184	"DASHIELL, ELMER"	10/4/1977	100	Plastic	2	90	20	27	35	Not Available
WO731185	"COWGER, LAWRENCE E,"	10/24/1977	30	Steel	2	26	5	29	30	Not Available
WO731186	IDEAL WELL DRILLERS	12/16/1977	58	Plastic	2	53	75	10	51	Not Available
WO731187	IDEAL WELL DRILLERS	12/16/1977	245	Plastic	2	235	20	21	40	Not Available
WO731188	IDEAL WELL DRILLERS	10/27/1977	50	Plastic	2	45	45	16	19	Not Available
WO731189	"DAISEY, CHARLES I"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731190	"DAISEY, CHARLES I"	11/6/1977	94	Steel	2	88	40	6	18	Not Available
WO731191	"DAISEY, CHARLES I"	9/26/1977	95	Steel	2	89	40	12	20	Not Available
WO731192	"LEONARD, WILLIAM C."	9/23/1977	70	Steel	2	5	10	12	12	Not Available
WO731193	IDEAL WELL DRILLERS	10/4/1977	35	Plastic	2	30	70	13	17	Not Available
WO731194	"DAISEY, CHARLES I"	9/27/1977	126	Steel	2	120	40	28	36	Not Available
WO731195	"LEONARD, WILLIAM C."	10/24/1977	15	Steel	2	5	7	8	15	Not Available
WO731196	"DASHIELL, ELMER"	10/25/1977	60	Plastic	2	50	20	8	15	Not Available
WO731197	"DASHIELL, ELMER"	10/25/1977	250	Plastic	2	230	20	33	39	Not Available
WO731198	"DASHIELL, ELMER"	10/31/1977	60	Plastic	2	50	15	15	22	Not Available
WO731199	"DASHIELL, ELMER"	10/31/1977	60	Plastic	2	50	12	15	21	Not Available
WO731200	IDEAL WELL DRILLERS	10/27/1977	56	Plastic	2	51	12	10	12	Not Available
WO731201	"BRITTINGHAM, MAURICE"	11/20/1977	64	Plastic	2	54	20	18	26	Not Available
WO731202	"LEONARD, WILLIAM C."	10/13/1977	15	Steel	2	5	8	10	10	Not Available
WO731203	"DASHIELL, ELMER"	10/27/1977	140	Plastic	2	120	15	21	30	Not Available
WO731204	"LEONARD, WILLIAM C."	10/25/1977	20	Steel	2	5	7	8	20	Not Available
WO731205	"DASHIELL, ELMER"	12/23/1977	150	Plastic	2	140	15	2	9	Not Available
WO731206	IDEAL WELL DRILLERS	10/26/1977	70	Plastic	2	65	60	7	10	Not Available
WO731207	"FORD, MARION O"	12/8/1977	135	Plastic	2	120	10	15	21	40
WO731208	IDEAL WELL DRILLERS	10/20/1977	63	Plastic	2	58	70	10	15	Not Available
WO731209	"LEONARD, WILLIAM C."	10/19/1977	80	Steel	2	15	10	12	80	Not Available
WO731210	"SMULLEN, CHARLES"	10/12/1977	31	Steel	2	27	10	23	23	Not Available
WO731211	"DASHIELL, ELMER"	4/25/1978	285	Plastic	2	265	20	14	20	Not Available
WO731212	"DASHIELL, ELMER"	10/21/1977	260	Plastic	2	240	15	29	38	Not Available
WO731213	"LEONARD, WILLIAM C."	10/13/1977	55	Steel	2	5	10	12	55	Not Available
WO731214	IDEAL WELL DRILLERS	11/15/1977	100	Plastic	2	95	75	2	12	Not Available
WO731215	"BRITTINGHAM, MAURICE"	11/10/1977	28	Plastic	2	23	20	5	18	Not Available
WO731216	IDEAL WELL DRILLERS	12/19/1977	63	Plastic	2	58	70	5	10	Not Available
WO731217	"LEONARD, WILLIAM C."	11/2/1977	15	Steel	2	15	8	10	15	Not Available
WO731218	"SMULLEN, CHARLES"	3/14/1978	42	Steel	1	40	10	12	42	Not Available
WO731219	"FORD, MARION O"	12/2/1977	105	Plastic	2	90	10	12	15	Not Available
WO731220	"SHOCKLEY, COSTON"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731221	"LEONARD, WILLIAM C."	12/16/1977	58	Steel	2	5	8	15	58	Not Available
WO731222	DELMARVA DRLG CO INC	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
WO731223	"DAISEY, CHARLES I"	12/12/1977	95	Steel	2	89	40	18	24	Not Available
WO731224	"SMULLEN, CHARLES"	11/18/1977	29	Steel	1	29	10	14	29	Not Available
WO731225	"HAMMOND, LEMUEL W."	5/7/1979	40	Steel	2	35	7	8	70	Not Available
WO731226	"DAISEY, CHARLES I"	1/3/1978	116	Steel	2	110	40	12	24	Not Available
WO731227	IDEAL WELL DRILLERS	12/30/1977	80	Plastic	2	75	75	7	15	Not Available
WO731228	"LEONARD, WILLIAM C."	11/2/1977	15	Steel	2	5	8	7	15	Not Available
WO731229	IDEAL WELL DRILLERS	4/6/1978	98	Plastic	2	93	75	7	10	Not Available
WO731230	IDEAL WELL DRILLERS	12/12/1977	100	Plastic	2	95	75	9	13	Not Available
WO731231	IDEAL WELL DRILLERS	12/17/1977	95	Plastic	2	90	20	12	15	Not Available
WO731232	IDEAL WELL DRILLERS	12/12/1977	93	Plastic	2	88	70	2	10	Not Available
WO731233	"LEONARD, WILLIAM C."	11/10/1977	33	Steel	2	33	8	7	33	Not Available
WO731234	"DASHIELL, ELMER"	11/30/1977	60	Plastic	2	50	15	16	22	Not Available
WO731235	"DASHIELL, ELMER"	11/30/1977	74	Plastic	2	64	10	18	24	Not Available
WO731236	"LEONARD, WILLIAM C."	7/28/1977	20	Steel	2	5	10	6	20	Not Available
WO731237	"LEONARD, WILLIAM C."	11/2/1977	18	Steel	2	5	8	7	18	Not Available
WO731238	IDEAL WELL DRILLERS	4/13/1977	150	Plastic	2	145	20	20	23	Not Available
WO731239	IDEAL WELL DRILLERS	12/13/1977	101	Plastic	2	96	70	9	15	Not Available
WO731240	IDEAL WELL DRILLERS	12/17/1977	100	Plastic	2	90	70	12	18	Not Available
WO731241	IDEAL WELL DRILLERS	3/15/1978	262	Plastic	2	252	15	16	20	Not Available
WO731242	"LEONARD, WILLIAM C."	11/14/1977	38	Steel	2	5	8	8	38	Not Available
WO731243	"LEONARD, WILLIAM C."	11/16/1977	53	Steel	2	5	7	12	53	Not Available
WO731244	"FRIES, WILLIAM"	3/14/1978	100	Plastic	2	95	75	10	15	Not Available
WO731245	"DAISEY, CHARLES I"	1/9/1978	116	Steel	2	110	40	18	28	Not Available
WO731246	JOHNSON PRESTON S.	12/3/1977	33	Steel	2	33	3	6	33	Not Available
WO731247	IDEAL WELL DRILLERS	11/14/1977	64	Plastic	2	59	75	6	10	Not Available
WO731248	IDEAL WELL DRILLERS	12/15/1977	240	Plastic	2	220	15	25	40	Not Available
WO731249	IDEAL WELL DRILLERS	12/20/1977	38	Plastic	2	33	75	11	14	Not Available
WO731250	"LEONARD, WILLIAM C."	11/18/1977	15	Steel	2	5	5	7	15	Not Available
WO731251	"FORD, MARION O"	12/23/1977	105	Plastic	2	90	10	10	12	Not Available
WO731252	"DAISEY, CHARLES I"	12/14/1977	95	Steel	2	89	40	4	12	Not Available
WO731253	IDEAL WELL DRILLERS	12/13/1977	100	Plastic	2	60	70	4	10	Not Available
WO731254	IDEAL WELL DRILLERS	9/24/1977	100	Plastic	2	95	70	4	10	Not Available
WO731255	"DAISEY, CHARLES I"	12/8/1977	95	Steel	2	89	40	10	20	Not Available
WO731256	"SMULLEN, CHARLES"	12/8/1977	37	Steel	1	34	10	10	37	Not Available
WO731257	"HAMMOND, LEMUEL W."	6/21/1978	35	Steel	2	30	8	8	10	Not Available
WO731258	"SMULLEN, CHARLES"	4/28/1978	34	Steel	1	30	10	12	34	Not Available
