PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
FR880689	"CLINE, ROBERT L."	1/17/1990	325	Steel	6	80	40	15	325	Not Available
FR880690	"CLINE, ROBERT L."	7/15/1989	175	Steel	6	64	10	7	175	Not Available
FR880691	"CLINE, ROBERT L."	6/22/1989	175	Steel	6	64	10	25	175	Not Available
FR880692	"CLINE, ROBERT L."	7/22/1989	250	Steel	6	108	5	8	250	Not Available
FR880693	"CLINE, ROBERT L."	7/26/1989	300	Steel	6	85	5	52	300	Not Available
FR880694	"CLINE, ROBERT L."	7/26/1989	300	Steel	6	42	4	68	300	Not Available
FR880695	ROBERT L. CLINE	7/26/1989	125	Steel	6	64	20	55	125	Not Available
FR880696	"CLINE, ROBERT L."	7/26/1989	325	Steel	6	64	4	53	325	Not Available
FR880697	"CLINE, ROBERT L."	8/2/1989	525	Steel	6	64	2	55	180	Not Available
FR880698	"SHAFF, GARY W"	7/14/1989	300	Steel	6	40	5	20	200	Not Available
FR880699	"GARVER, AUSTIN N."	7/7/1989	500	Steel	6	41	12	40	490	Not Available
FR880700	QUYNN WM BARTON	6/30/1989	240	Steel	6	40	20	39	240	Not Available
FR880701	QUYNN WM BARTON	7/12/1989	340	Steel	6	40	2	22	340	Not Available
FR880702	"EASTERDAY, GEORGE F."	7/13/1989	240	Steel	6	131	20	100	240	Not Available
FR880703	"EASTERDAY, GEORGE F."	7/14/1989	240	Steel	6	146	15	140	240	Not Available
FR880704	"CLINE, ROBERT L."	9/18/1989	650	Steel	6	42	2	20	145	Not Available
FR880705	"EASTERDAY, GEORGE F."	6/28/1989	200	Steel	6	105	100	120	200	Not Available
FR880706	"HARLEY, SHELDON L."	7/6/1989	410	Steel	6	42	2	110	410	Not Available
FR880707	"CLINE, ROBERT L."	7/6/1989	300	Steel	6	42	5	20	300	Not Available
FR880708	"CLINE, ROBERT L."	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
FR880709	"REICHART, ROBERT W."	7/18/1989	100	Steel	6	27	60	27	100	Not Available
FR880710	ROBERT W. REICHART	7/18/1989	325	Steel	6	20	1	27	280	Not Available
FR880711	"REICHART, ROBERT W."	3/28/1990	300	Steel	6	20	1	22	265	Not Available
FR880712	"GARVER, AUSTIN N."	7/19/1989	200	Steel	6	59	25	30	78	Not Available
FR880713	"GARVER, AUSTIN N."	8/27/1989	200	Steel	6	61	6	35	140	Not Available
FR880715	"CLINE, ROBERT L."	9/15/1989	150	Steel	6	64	20	38	150	Not Available
FR880716	"EASTERDAY, GEORGE F."	8/29/1989	200	Steel	6	53	6	55	200	Not Available
FR880717	"EASTERDAY, GEORGE F."	8/31/1989	400	Steel	6	40	2	44	242	Not Available
FR880718	"EASTERDAY, GEORGE F."	8/30/1989	300	Steel	6	40	3	51	161	Not Available
FR880719	QUYNN WM BARTON	7/12/1989	160	Steel	6	80	25	41	160	Not Available
FR880720	"HARLEY, SHELDON L."	8/16/1989	100	Steel	6	51	20	10	100	Not Available
FR880722	ROBERT L. CLINE	7/29/1989	525	Steel	6	64	3	115	214	Not Available
FR880723	"CLINE, ROBERT L."	7/21/1989	525	Steel	6	85	2	105	211	Not Available
FR880724	"MAYNE, RALPH"	8/4/1989	165	Plastic	6	50	9	40	165	Not Available
FR880725	"MAYNE, RALPH"	8/8/1989	305	Plastic	6	90	4	75	305	Not Available
FR880726	"MAYNE, RALPH"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
FR880727	"MAYNE, RALPH"	7/24/1989	325	Plastic	6	40	2	55	240	Not Available
FR880728	"MAYNE, RALPH"	7/18/1989	305	Plastic	6	60	1	48	275	Not Available
FR880729	"MAYNE, RALPH"	7/7/1989	185	Plastic	6	48	8	60	185	Not Available
FR880730	"HOLLAND, LEO JR."	8/17/1989	145	Steel	6	21	10	45	145	Not Available
FR880731	"CLINE, ROBERT L."	8/15/1989	300	Steel	6	42	8	20	300	Not Available
FR880732	"CLINE, ROBERT L."	7/22/1989	200	Steel	6	64	9	40	200	Not Available
FR880733	"HARLEY, SHELDON L."	7/15/1989	350	Steel	6	21	2	67	195	Not Available
FR880734	"MAYNE, RALPH"	6/1/1990	245	Plastic	6	21	4	50	245	Not Available
FR880735	"CLINE, ROBERT L."	7/20/1989	175	Steel	6	55	10	57	175	Not Available
FR880736	"CLINE, ROBERT L."	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
FR880737	"CLINE, ROBERT L."	7/11/1989	300	Steel	6	106	8	48	300	Not Available
FR880738	QUYNN WM BARTON	7/21/1989	400	Steel	6	102	8	60	134	Not Available
FR880739	QUYNN WM BARTON	7/21/1989	400	Steel	6	40	3	47	168	Not Available
FR880741	"SHAFF, GARY W"	10/3/1989	200	Steel	6	21	30	12	100	Not Available
FR880742	"SHAFF, GARY W"	11/17/2000	300	Steel	6	35	20	50	300	Not Available
FR880743	"SHAFF, GARY W"	7/14/1989	200	Steel	6	21	60	20	100	Not Available
FR880744	"SHAFF, GARY W"	7/14/1989	200	Steel	6	30	5	2	100	Not Available
FR880745	"CLINE, ROBERT L."	8/15/1989	350	Steel	6	42	3	41	141	Not Available
FR880746	"HOLLAND, LEO JR."	7/24/1989	265	Steel	6	84	8	60	265	Not Available
FR880747	"HOLLAND, LEO JR."	7/24/1989	225	Steel	6	60	10	65	225	Not Available
FR880748	"EASTERDAY, GEORGE F."	8/30/1989	300	Steel	6	41	5	73	168	Not Available
FR880749	"EASTERDAY, GEORGE F."	9/1/1989	400	Steel	6	36	3	58	260	Not Available
FR880750	"EASTERDAY, GEORGE F."	8/31/1989	400	Steel	6	44	3	60	218	Not Available
FR880751	"EASTERDAY, GEORGE F."	8/30/1989	200	Steel	6	23	4	100	200	Not Available
FR880752	"EASTERDAY, GEORGE F."	8/30/1989	120	Steel	6	41	50	85	120	Not Available
FR880753	"EASTERDAY, GEORGE F."	8/30/1989	400	Steel	6	42	3	38	133	Not Available
FR880754	"EASTERDAY, GEORGE F."	8/30/1989	300	Steel	6	21	3	64	126	Not Available
FR880755	"EASTERDAY, GEORGE F."	8/29/1989	400	Steel	6	42	4	66	221	Not Available
FR880756	"EASTERDAY, GEORGE F."	8/29/1989	140	Steel	6	32	60	50	140	Not Available
FR880757	"EASTERDAY, GEORGE F."	8/29/1989	160	Steel	6	48	40	87	160	Not Available
FR880758	"CLINE, ROBERT L."	7/28/1989	400	Steel	6	70	5	38	400	Not Available
FR880759	"CLINE, ROBERT L."	7/28/1989	200	Steel	6	81	5	44	200	Not Available
FR880760	"CLINE, ROBERT L."	7/28/1989	150	Steel	6	80	12	46	150	Not Available
FR880761	"CLINE, ROBERT L."	8/10/1989	350	Steel	6	85	15	30	350	Not Available
FR880762	"CLINE, ROBERT L."	8/10/1989	150	Steel	6	85	4	30	150	Not Available
FR880763	"CLINE, ROBERT L."	8/11/1989	100	Steel	6	85	20	30	100	Not Available
FR880764	"CLINE, ROBERT L."	8/10/1989	125	Steel	6	85	12	33	125	Not Available
FR880765	"CLINE, ROBERT L."	8/12/1989	200	Steel	6	85	15	46	200	Not Available
FR880766	"CLINE, ROBERT L."	8/12/1989	175	Steel	6	85	20	45	175	Not Available
FR880767	"CLINE, ROBERT L."	8/12/1989	125	Steel	6	85	30	45	125	Not Available
FR880768	"CLINE, ROBERT L."	8/12/1989	125	Steel	6	85	10	47	125	Not Available
FR880769	"CLINE, ROBERT L."	8/21/1989	500	Steel	6	42	7	60	500	Not Available
FR880770	"HARLEY, WAYNE E."	7/20/1989	250	Steel	6	21	12	40	225	Not Available
FR880774	"CLINE, ROBERT L."	10/11/1989	475	Steel	6	63	8	41	475	Not Available
FR880775	"CLINE, ROBERT L."	8/3/1989	500	Steel	6	77	15	152	500	Not Available
FR880776	"SHAFF, GARY W"	7/21/1989	300	Steel	6	21	15	20	200	Not Available
FR880777	"HARLEY, WAYNE E."	9/19/1989	375	Steel	6	63	6	50	300	Not Available
FR880778	GARY W. SHAFF	8/16/1989	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
FR880779	"GARVER, AUSTIN N."	8/17/1989	240	Steel	6	122	7	90	193	Not Available
