PERMIT	DRILLER_NAME	COMPLETION_DATE	TOTAL_DEPTH	CASING_TYPE	CASING_DIAM	CASING_DEPTH	PUMPING_RATE	LEVEL_BEFORE	LEVEL_DURING	COLUMN_LENGTH
AL731045	"CLARK, GERALD W"	9/12/1980	129	Not Available	Not Available	Not Available	2	20	129	Not Available
AL731046	"CLARK, GERALD W"	9/11/1980	100	Steel	6	20	12	3	67	96
AL731047	"FORD, LEO P"	10/18/1980	97	Steel	6	43	4	27	97	Not Available
AL731048	"FORD, GLENN A"	9/30/1980	44	Steel	7	20	15	41	44	34
AL731049	"FORD, LEO P"	9/19/1980	72	Steel	6	37	30	19	72	63
AL731050	"FORD, LEO P"	9/20/1980	96	Steel	6	25	20	27	96	84
AL731051	"FORD, LEO P"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
AL731052	"FORD, LEO P"	9/19/1980	72	Steel	6	30	15	20	72	63
AL731053	"CLARK, GERALD W"	9/29/1980	162	Steel	6	43	15	47	145	151
AL731054	"FORD, LEO P"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
AL731056	"FORD, LEO P"	10/1/1980	247	Steel	6	20	3	38	249	231
AL731057	"FORD, LEO P"	9/30/1980	184	Steel	6	20	5	17	184	164
AL731058	"CLARK, GERALD W"	10/20/1980	83	Steel	6	30	15	17	63	Not Available
AL731059	"FORD, GLENN A"	10/4/1980	104	Steel	7	33	20	7	104	Not Available
AL731060	"FORD, GLENN A"	10/8/1980	299	Steel	7	47	1	42	299	Not Available
AL731061	"CLARK, GERALD W"	10/15/1980	103	Steel	6	19	7	6	83	Not Available
AL731062	"CLARK, GERALD W"	11/28/1980	295	Steel	6	24	3	215	293	281
AL731063	"FORD, LEO P"	2/12/1981	111	Steel	6	74	6	26	111	100
AL731064	"FORD, LEO P"	11/18/1980	80	Steel	6	21	30	17	80	63
AL731065	"FORD, LEO P"	11/20/1980	228	Steel	6	42	4	36	228	210
AL731066	"FORD, LEO P"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
AL731067	"FORD, LEO P"	11/14/1980	145	Steel	6	52	8	17	145	134
AL731068	"FORD, LEO P"	11/17/1980	177	Steel	6	30	18	67	177	Not Available
AL731069	"FORD, LEO P"	4/7/1981	551	Steel	6	42	3	172	551	Not Available
AL731070	"FORD, LEO P"	12/3/1980	227	Steel	6	63	5	44	227	210
AL731071	"FORD, LEO P"	11/15/1980	102	Steel	6	26	15	14	102	Not Available
AL731072	"FORD, LEO P"	11/20/1980	402	Steel	6	34	10	25	402	Not Available
AL731073	"FORD, LEO P"	12/4/1980	123	Steel	6	70	15	26	123	112
AL731074	"CLARK, GERALD W"	1/28/1981	444	Steel	6	118	5	364	432	428
AL731075	"FORD, LEO P"	1/24/1981	135	Steel	6	85	5	48	135	126
AL731076	"FORD, LEO P"	1/23/1981	235	Steel	6	50	3	78	235	Not Available
AL731077	"FORD, GLENN A"	1/23/1981	140	Not Available	Not Available	Not Available	10	81	140	132
AL731078	"FORD, GLENN A"	1/27/1981	503	Steel	7	20	1	2	5	Not Available
AL731079	"FORD, GLENN A"	2/10/1981	144	Steel	7	22	4	26	144	134
AL731080	"FORD, LEO P"	2/14/1981	297	Steel	6	21	4	89	297	273
AL731081	"FORD, LEO P"	2/10/1981	247	Steel	6	21	6	21	247	Not Available
AL731082	"FORD, LEO P"	5/22/1981	200	Steel	6	21	4	47	200	186
AL731083	"FORD, LEO P"	2/23/1981	252	Steel	6	51	15	20	252	238
AL731084	FORD LEO P	2/26/1981	222	Not Available	Not Available	Not Available	2	76	222	210
AL731085	"FORD, LEO P"	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
AL731086	"FORD, GLENN A"	3/3/1981	83	Steel	7	20	30	5	83	73
AL731087	"FORD, LEO P"	3/4/1981	297	Steel	6	21	2	62	297	179
AL731088	"FORD, GLENN A"	3/10/1981	123	Steel	7	49	12	38	123	Not Available
AL731089	"FORD, LEO P"	3/13/1981	98	Steel	6	44	10	17	98	Not Available
AL731090	"FORD, GLENN A"	3/23/1981	100	Not Available	Not Available	Not Available	7	32	100	95
AL731091	"JOHNSON, DAVID M."	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
AL731092	"FORD, LEO P"	4/20/1981	118	Steel	6	27	5	20	118	Not Available
AL731093	"FORD, LEO P"	3/24/1981	322	Steel	6	42	4	126	322	305
AL731094	"JOHNSON, DAVID M."	5/2/1981	71	Steel	6	34	10	33	50	Not Available
AL731095	"FORD, LEO P"	4/1/1981	302	Steel	6	28	5	18	302	283
AL731097	"CLARK, G. W."	4/14/1981	367	Steel	6	31	4	45	345	354
AL731098	"FORD, GLENN A"	4/21/1981	404	Steel	6	23	6	3	404	Not Available
